slug,name,country,logo
audi,Audi,Германия,audi-logo.webp
avatr,Avatr,Китай,avatr-logo.webp
baic,BAIC,Китай,baic-logo.webp
bmw,BMW,Германия,bmw_logo-logo.webp
buick,Buick,США,buick-logo.webp
byd,BYD,Китай,byd-logo.webp
cadillac,Cadillac,США,cadillac-logo.webp
changan,Changan,Китай,changan-logo.webp
chery,Chery,Китай,chery-logo.webp
chevrolet,Chevrolet,США,chevrolet-logo.webp
citroen,Citroen,Франция,citroen-logo.webp
denza,Denza,Китай,denza-logo.webp
dongfeng,Dongfeng,Китай,dongfeng-logo.webp
exeed,Exeed,Китай,exeed-logo.webp
faw,FAW,Китай,faw-logo.webp
ford,Ford,США,ford-logo.webp
forthing,Forthing,Китай,forthing-logo.webp
gac,GAC,Китай,gac-logo.webp
geely,Geely,Китай,geely-logo.webp
gw,Great Wall,Китай,gw-logo.webp
haval,Haval,Китай,haval-logo.webp
hiphi,HiPhi,Китай,hiphi-logo.webp
honda,Honda,Япония,honda-logo.webp
hongqi,Hongqi,Китай,hongqi-logo.webp
huawei,Huawei,Китай,huawei-logo.webp
hyundai,Hyundai,Корея,hyundai-logo.webp
infiniti,Infiniti,Япония,infiniti-logo.webp
jaguar,Jaguar,Англия,jaguar-logo.webp
jetour,Jetour,Китай,jetour-logo.webp
jetta,Jetta,Германия,jetta-logo.webp
jishi,Jishi,Китай,jishi-logo.webp
kia,Kia,Корея,kia-logo.webp
landrover,Land Rover,Англия,landrover-logo.webp
leamotor,Leamotor,Китай,leamotor_logo-logo.webp
lexus,Lexus,Япония,lexus-logo.webp
lincoln,Lincoln,США,lincoln-logo.webp
lixiang,LiXiang,Китай,lixiang-logo.webp
lotus,Lotus,Англия,lotus-logo.webp
lynk,Lynk & Co,Китай,lynk-logo.webp
mazda,Mazda,Япония,mazda-logo.webp
mercedes,Mercedes-Benz,Германия,mercedes-logo.webp
mg,MG,Китай,mg-logo.webp
mini,Mini,Англия,mini-logo.webp
mitsubishi,Mitsubishi,Япония,mitsubishi-logo.webp
neta,Neta,Китай,neta-logo.webp
nio,Nio,Китай,nio-logo.webp
nissan,Nissan,Япония,nissan-logo.webp
peugeot,Peugeot,Франция,peugeot-logo.webp
polestar,Polestar,Швеция,polestar-logo.webp
skoda,Skoda,Чехия,skoda-logo.webp
smart,Smart,Германия,smart-logo.webp
tank,Tank,Китай,tank-logo.webp
tesla,Tesla,США,tesla-logo.webp
toyota,Toyota,Япония,toyota-logo.webp
venucia,Venucia,Китай,venucia-logo.webp
volkswagen,Volkswagen,Германия,volkswagen-logo.webp
volvo,Volvo,Швеция,volvo-logo.webp
voyah,Voyah,Китай,voyah-logo.webp
wuling,Wuling,Китай,wuling-logo.webp
xiaomi,Xiaomi,Китай,xiaomi-logo.webp
xpeno,Xpeno,Китай,xpeno-logo.webp
zeekr,Zeekr,Китай,zeekr-logo.webp
